user_id,movie_id,rating,timestamp,user_idx,movie_idx
2532865,4500,4,2005-07-26,3635,3
573364,4500,3,2005-06-20,840,3
1696725,4500,3,2004-02-27,2464,3
1253431,4500,3,2004-03-31,1815,3
1265574,4500,2,2003-09-01,1833,3
1049643,4500,1,2003-11-15,1493,3
1601348,4500,4,2005-04-05,2328,3
1495289,4500,5,2005-07-09,2173,3
1254903,4500,3,2003-09-02,1818,3
2604070,4500,3,2005-05-15,3739,3
1006473,4500,5,2005-05-23,1435,3
1989892,4500,3,2004-04-06,2874,3
1517471,4500,4,2003-12-24,2204,3
1478381,4500,4,2005-05-21,2138,3
923084,4500,2,2004-11-15,1330,3
2446292,4500,4,2005-10-06,3518,3
2554745,4500,3,2003-05-07,3662,3
1133125,4500,5,2004-08-10,1621,3
349528,4500,4,2003-08-11,493,3
1614895,4500,5,2004-08-29,2349,3
424958,4500,4,2005-08-02,614,3
1390877,4500,3,2003-10-07,2017,3
2327422,4500,4,2004-08-19,3347,3
18103,4500,3,2005-07-24,24,3
591075,4500,4,2004-03-12,869,3
1589677,4500,3,2003-07-17,2314,3
973538,4500,2,2004-11-06,1395,3
1107636,4500,3,2004-04-17,1573,3
1279272,4500,2,2005-08-08,1858,3
1578868,4500,4,2005-11-08,2300,3
1764950,4500,4,2004-04-11,2558,3
1607574,4500,3,2004-08-07,2340,3
2604976,4500,3,2005-08-18,3742,3
2152838,4500,2,2004-12-14,3115,3
1956967,4500,3,2005-05-03,2824,3
1170871,4500,4,2005-11-22,1672,3
2103896,4500,2,2005-01-11,3051,3
2589830,4500,5,2004-07-16,3711,3
478176,4500,4,2005-05-22,696,3
1167572,4500,5,2005-11-07,1668,3
273939,4500,5,2005-04-16,379,3
2191732,4500,1,2003-08-25,3157,3
1508291,4500,4,2005-10-03,2188,3
1132940,4500,3,2004-02-19,1620,3
325384,4500,3,2005-03-20,456,3
1617677,4500,5,2005-10-03,2351,3
1240130,4500,3,2003-08-25,1787,3
2175436,4500,4,2004-06-18,3143,3
187322,4500,2,2004-05-11,257,3
765129,4500,3,2004-02-11,1106,3
2490130,4500,4,2005-02-21,3579,3
