,user_id,movie_id,rating,timestamp,normalized_rating
0,2385003,13368,4,2004-07-08,3.75
1,659432,13368,3,2005-03-16,2.75
2,751812,13368,2,2002-12-16,1.75
3,2625420,13368,2,2004-05-25,1.75
4,1650301,13368,1,2005-08-30,0.75
5,2269227,13368,4,2005-10-27,3.75
6,2220672,13368,4,2002-08-19,3.75
7,2500511,13368,4,2003-08-11,3.75
8,1452058,13368,2,2005-01-29,1.75
9,1624891,13368,3,2002-07-27,2.75
10,970031,13368,3,2004-04-14,2.75
11,345673,13368,4,2005-04-07,3.75
12,1426869,13368,5,2005-04-21,4.75
13,1037088,13368,2,2005-09-14,1.75
14,2079559,13368,5,2005-10-08,4.75
15,2175560,13368,5,2005-01-12,4.75
16,946805,13368,4,2005-02-09,3.75
17,767843,13368,1,2005-05-04,0.75
18,464031,13368,3,2001-02-08,2.75
19,2473764,13368,4,2005-09-26,3.75
20,2339119,13368,3,2005-11-27,2.75
21,162348,13368,3,2004-06-15,2.75
22,2622206,13368,4,2005-10-09,3.75
23,1558606,13368,3,2004-06-21,2.75
24,945258,13368,3,2005-05-03,2.75
25,1315220,13368,5,2002-05-15,4.75
26,1860412,13368,3,2003-07-29,2.75
27,1338852,13368,3,2003-07-14,2.75
28,1469354,13368,2,2003-12-19,1.75
29,719833,13368,4,2003-07-20,3.75
30,310049,13368,2,2004-03-15,1.75
31,324891,13368,5,2005-04-23,4.75
32,1203136,13368,3,2001-05-12,2.75
33,653471,13368,5,2003-11-03,4.75
34,17099,13368,3,2004-09-01,2.75
35,2304670,13368,4,2005-02-10,3.75
36,2195992,13368,3,2005-04-16,2.75
37,1892937,13368,5,2005-07-25,4.75
38,1414863,13368,3,2004-05-19,2.75
39,1959288,13368,2,2005-03-02,1.75
40,1934640,13368,4,2005-03-17,3.75
41,2476255,13368,4,2005-10-09,3.75
42,1698528,13368,5,2005-10-07,4.75
43,955917,13368,4,2003-08-14,3.75
44,2352327,13368,4,2004-09-01,3.75
45,364540,13368,3,2004-08-04,2.75
46,1225326,13368,5,2005-02-11,4.75
47,1253156,13368,4,2005-07-07,3.75
48,1791854,13368,4,2004-10-31,3.75
49,1143351,13368,3,2005-03-01,2.75
50,2448082,13368,2,2005-08-19,1.75
51,2077104,13368,2,2004-01-29,1.75
52,1864362,13368,5,2005-01-12,4.75
53,1433951,13368,4,2005-06-28,3.75
54,472483,13368,5,2005-09-23,4.75
55,748973,13368,4,2005-08-27,3.75
56,2269838,13368,4,2003-08-19,3.75
57,2477177,13368,3,2004-01-06,2.75
58,2209858,13368,4,2005-02-13,3.75
59,1709239,13368,4,2002-08-17,3.75
60,727242,13368,1,2004-05-18,0.75
61,274313,13368,2,2003-08-11,1.75
62,2235013,13368,4,2004-12-29,3.75
63,443193,13368,3,2001-02-17,2.75
64,478176,13368,4,2004-08-25,3.75
65,1150643,13368,5,2005-09-06,4.75
66,544784,13368,4,2005-03-14,3.75
67,2569291,13368,5,2005-10-11,4.75
68,1272379,13368,2,2002-03-06,1.75
69,1101438,13368,5,2005-08-15,4.75
70,427674,13368,4,2004-02-28,3.75
71,111211,13368,2,2004-02-02,1.75
72,871684,13368,4,2005-05-09,3.75
73,1329206,13368,4,2005-06-13,3.75
74,1116219,13368,5,2002-08-29,4.75
75,2479276,13368,4,2005-10-20,3.75
76,109389,13368,5,2002-11-13,4.75
77,487240,13368,1,2005-05-09,0.75
78,2018935,13368,4,2005-05-18,3.75
79,1288980,13368,3,2005-10-05,2.75
80,1092081,13368,5,2004-03-05,4.75
81,664419,13368,4,2005-08-06,3.75
82,2380716,13368,3,2003-08-22,2.75
83,1964421,13368,5,2004-02-03,4.75
84,2120820,13368,5,2004-05-17,4.75
85,1685089,13368,4,2001-04-19,3.75
86,593440,13368,4,2004-08-28,3.75
87,892185,13368,4,2005-08-02,3.75
88,1290520,13368,4,2004-08-13,3.75
89,637621,13368,5,2005-01-28,4.75
90,475010,13368,4,2005-02-03,3.75
91,2219254,13368,3,2000-09-20,2.75
92,2439493,13368,1,2003-04-03,0.75
93,2182356,13368,3,2005-10-01,2.75
94,186179,13368,5,2000-03-05,4.75
95,2245909,13368,4,2004-09-10,3.75
96,1672449,13368,3,2005-09-09,2.75
97,1324924,13368,5,2005-08-28,4.75
98,853194,13368,4,2004-01-20,3.75
99,869373,13368,2,2003-11-13,1.75
100,907430,13368,2,2005-10-24,1.75
101,833381,13368,3,2003-04-09,2.75
102,505624,13368,5,2005-11-12,4.75
103,756011,13368,5,2004-10-14,4.75
104,1205638,13368,3,2005-12-01,2.75
105,1021948,13368,5,2005-12-07,4.75
106,371967,13368,3,2000-03-21,2.75
107,1570077,13368,3,2002-03-04,2.75
108,2343780,13368,4,2004-01-28,3.75
109,2136168,13368,2,2005-03-10,1.75
110,289594,13368,3,2005-12-12,2.75
111,1646880,13368,4,2005-02-25,3.75
112,768810,13368,2,2003-09-04,1.75
113,2221847,13368,5,2005-02-14,4.75
114,2455117,13368,4,2005-11-15,3.75
115,1218097,13368,4,2005-03-01,3.75
116,1431415,13368,5,2005-11-08,4.75
117,528559,13368,4,2005-07-28,3.75
118,2397704,13368,5,2004-01-25,4.75
119,1233752,13368,3,2000-01-16,2.75
120,2029462,13368,3,2004-02-09,2.75
121,2062286,13368,3,2004-01-12,2.75
122,1212627,13368,4,2005-01-27,3.75
123,1149052,13368,3,2004-07-13,2.75
124,1493430,13368,4,2004-07-09,3.75
125,2358715,13368,5,2005-09-13,4.75
126,1960208,13368,5,2005-09-07,4.75
127,1252629,13368,2,2004-03-16,1.75
128,634777,13368,5,2004-11-07,4.75
129,919869,13368,5,2005-11-08,4.75
130,1314655,13368,4,2005-01-27,3.75
131,1153564,13368,5,2005-06-03,4.75
