user_id,movie_id,rating,timestamp
2532865,4500,4,2005-07-26
573364,4500,3,2005-06-20
1696725,4500,3,2004-02-27
1253431,4500,3,2004-03-31
1265574,4500,2,2003-09-01
1049643,4500,1,2003-11-15
1601348,4500,4,2005-04-05
1495289,4500,5,2005-07-09
1254903,4500,3,2003-09-02
2604070,4500,3,2005-05-15
1006473,4500,5,2005-05-23
1989892,4500,3,2004-04-06
1517471,4500,4,2003-12-24
1478381,4500,4,2005-05-21
923084,4500,2,2004-11-15
2446292,4500,4,2005-10-06
2554745,4500,3,2003-05-07
1133125,4500,5,2004-08-10
349528,4500,4,2003-08-11
1614895,4500,5,2004-08-29
424958,4500,4,2005-08-02
1390877,4500,3,2003-10-07
2327422,4500,4,2004-08-19
18103,4500,3,2005-07-24
591075,4500,4,2004-03-12
1589677,4500,3,2003-07-17
973538,4500,2,2004-11-06
1107636,4500,3,2004-04-17
1279272,4500,2,2005-08-08
1578868,4500,4,2005-11-08
1764950,4500,4,2004-04-11
1607574,4500,3,2004-08-07
2604976,4500,3,2005-08-18
2152838,4500,2,2004-12-14
1956967,4500,3,2005-05-03
1170871,4500,4,2005-11-22
2103896,4500,2,2005-01-11
2589830,4500,5,2004-07-16
478176,4500,4,2005-05-22
1167572,4500,5,2005-11-07
273939,4500,5,2005-04-16
2191732,4500,1,2003-08-25
1508291,4500,4,2005-10-03
1132940,4500,3,2004-02-19
325384,4500,3,2005-03-20
1617677,4500,5,2005-10-03
1240130,4500,3,2003-08-25
2175436,4500,4,2004-06-18
187322,4500,2,2004-05-11
765129,4500,3,2004-02-11
2490130,4500,4,2005-02-21
2439493,4500,1,2003-03-23
2467154,4500,4,2005-05-20
1386457,4500,3,2004-09-15
320708,4500,4,2003-05-08
2379324,4500,4,2004-01-27
1789430,4500,3,2003-09-10
837081,4500,4,2005-07-20
656811,4500,4,2004-01-31
2453811,4500,4,2005-02-10
1534723,4500,5,2003-05-16
538221,4500,4,2005-06-10
1878316,4500,3,2004-01-04
345916,4500,3,2005-03-12
1065665,4500,5,2005-07-28
177103,4500,2,2004-01-17
530922,4500,2,2005-04-11
1459994,4500,2,2005-07-01
1149786,4500,3,2003-08-20
2258411,4500,3,2004-09-20
2553812,4500,3,2005-01-19
1736588,4500,1,2005-01-20
2208519,4500,2,2005-03-07
1899288,4500,4,2005-03-25
2282361,4500,3,2005-04-26
2477831,4500,4,2005-06-18
1853299,4500,4,2004-12-23
769702,4500,1,2005-02-26
914958,4500,4,2003-09-29
1524853,4500,4,2004-10-06
1434103,4500,2,2003-07-31
1848539,4500,5,2003-08-08
625344,4500,3,2004-07-27
432620,4500,3,2004-07-20
725232,4500,3,2004-03-03
